,added_at,artist_id,artist_name,duration_ms,explicit,id,name,popularity,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0TjXmjZbAy1W8mVVTbDdCq,2018-07-20T22:17:54Z,3LckZymXrBblESgZA08w7r,Vermont,196958.0,False,0TjXmjZbAy1W8mVVTbDdCq,Dschuna - Dixon Mix,11.0,0.000378,0.606,196959.0,0.761,0TjXmjZbAy1W8mVVTbDdCq,0.829,5.0,0.122,-10.736,1.0,0.0411,118.02,4.0,0.23
0TsXdSKxK3Snezeuw88RnO,2018-10-09T02:44:13Z,3TQ2taKTip3uFICbu5aIJq,Jesse Bru,445799.0,False,0TsXdSKxK3Snezeuw88RnO,Roach Fingers,35.0,0.108,0.833,445800.0,0.482,0TsXdSKxK3Snezeuw88RnO,0.503,9.0,0.106,-13.008,0.0,0.158,119.0,4.0,0.382
0U9veOgl6xF5vgtmIc9rku,2018-09-12T17:39:01Z,1ehDqG6bFGAurxlAJeQgNT,Matthew Dekay,562119.0,False,0U9veOgl6xF5vgtmIc9rku,Lost In A Moment - Dixon Rework,34.0,0.000532,0.789,562120.0,0.635,0U9veOgl6xF5vgtmIc9rku,0.811,6.0,0.0854,-13.665,0.0,0.0478,122.997,4.0,0.277
0UFHE3RTYMn41syux99CvF,2018-10-15T18:10:27Z,6n1t55WMsSIUFHrAL4mUsB,Pete Tong,442024.0,False,0UFHE3RTYMn41syux99CvF,Placebo - Original,41.0,4.61e-05,0.788,442024.0,0.937,0UFHE3RTYMn41syux99CvF,0.886,11.0,0.244,-8.743,0.0,0.0497,126.009,4.0,0.0576
0UOwNvGZiMlQXnnXHEgmId,2018-10-04T01:35:48Z,2MUENaxB93ZPNclZIDEMMV,Kalabrese,326880.0,False,0UOwNvGZiMlQXnnXHEgmId,Aufm Klo,18.0,0.062,0.903,326880.0,0.437,0UOwNvGZiMlQXnnXHEgmId,0.596,0.0,0.094,-14.293,0.0,0.11,123.0,4.0,0.4
0UqVJ3VSvGdpDOZ3oRqqfB,2018-07-30T13:18:29Z,2yPveJtn9DpeN0CgNJHvAQ,Stimming,392080.0,False,0UqVJ3VSvGdpDOZ3oRqqfB,Symphorine,29.0,0.00454,0.877,392080.0,0.45,0UqVJ3VSvGdpDOZ3oRqqfB,0.827,7.0,0.123,-10.335,0.0,0.0509,122.021,3.0,0.921
0VOJ3Y0SZFJOcj2de8jhvc,2017-08-01T02:27:54Z,6RAx8RRxoHeJIqD2d0EjOa,HVOB,337975.0,False,0VOJ3Y0SZFJOcj2de8jhvc,Envy,0.0,0.12,0.803,337976.0,0.431,0VOJ3Y0SZFJOcj2de8jhvc,0.883,2.0,0.112,-14.877,0.0,0.0482,110.007,4.0,0.105
0VVKXFBloAiJICom1TG26Q,2017-06-22T12:52:16Z,4iHnLagnnmgiIwMSm1wuTq,Giorgia Angiuli,303395.0,False,0VVKXFBloAiJICom1TG26Q,Axial Tilt,0.0,0.00588,0.451,303395.0,0.592,0VVKXFBloAiJICom1TG26Q,0.846,0.0,0.0754,-9.474,1.0,0.0308,120.022,4.0,0.0724
0WCHiHxRqplja7YBhuuVeZ,2018-11-26T11:52:01Z,0ddHqZkNzQv7cmCGN6NwXY,Phairo,230217.0,False,0WCHiHxRqplja7YBhuuVeZ,Pelican,39.0,0.0408,0.844,230217.0,0.545,0WCHiHxRqplja7YBhuuVeZ,0.909,10.0,0.0602,-7.485,0.0,0.0531,117.036,4.0,0.313
0WEDSalAhFZ7caQQoh6AGb,2016-03-16T17:09:17Z,33xmh99C0KxDvzaPjR178o,Instituto,239506.0,False,0WEDSalAhFZ7caQQoh6AGb,Dama Tereza,38.0,0.293,0.735,239507.0,0.585,0WEDSalAhFZ7caQQoh6AGb,0.0,11.0,0.17,-9.46,0.0,0.297,170.046,4.0,0.849
0Y0JVqSlj8J512B5kjKekP,2016-07-19T23:14:14Z,1VgjAK52kjkQJQQRhTn02t,Moonchild,223026.0,False,0Y0JVqSlj8J512B5kjKekP,Back to Me,46.0,0.571,0.88,223027.0,0.22,0Y0JVqSlj8J512B5kjKekP,0.0437,1.0,0.125,-11.51,0.0,0.471,94.112,4.0,0.812
0Y3BHJckNHfdh6qwd4HlZk,2016-06-07T18:12:31Z,4admDxmnri5Zco0xYrJ0ji,Jamie Jones,418560.0,False,0Y3BHJckNHfdh6qwd4HlZk,Siberian Express - Original Mix,29.0,0.000942,0.798,418560.0,0.463,0Y3BHJckNHfdh6qwd4HlZk,0.901,1.0,0.116,-10.555,1.0,0.0753,124.999,4.0,0.279
0YPdf5v7lIOxPEwQueckrB,2017-08-01T03:05:15Z,4rzWjR3L3M54c6I25NzdM3,Radio Slave,389541.0,False,0YPdf5v7lIOxPEwQueckrB,Feel The Same - Floorplan Extended Remix 2,6.0,0.000446,0.724,389542.0,0.945,0YPdf5v7lIOxPEwQueckrB,0.19,1.0,0.1,-9.04,1.0,0.126,128.977,4.0,0.0755
0Z4CrXtwIHd6AkeG0xMatU,2017-08-01T02:27:54Z,7fgdLbHjlVQE4sZ9L2awDq,Several Definitions,544047.0,False,0Z4CrXtwIHd6AkeG0xMatU,No Decision,0.0,0.000151,0.718,544047.0,0.952,0Z4CrXtwIHd6AkeG0xMatU,0.895,2.0,0.0484,-9.268,0.0,0.0561,122.0,4.0,0.153
0ZOihrLuSSPwJkwLsVJ8w3,2018-11-20T13:21:39Z,3cgriDRzuTkL0lSgylcEee,Cherry Moon Trax,517919.0,False,0ZOihrLuSSPwJkwLsVJ8w3,Needle Destruction,33.0,0.00103,0.817,517920.0,0.606,0ZOihrLuSSPwJkwLsVJ8w3,0.951,1.0,0.102,-8.542,1.0,0.0855,135.032,4.0,0.0334
0ZQI5HyOkmhcMpuqdQQYXY,2018-10-09T01:37:57Z,4PudohsNzzxcDlOUywzDha,Ariwo,336923.0,False,0ZQI5HyOkmhcMpuqdQQYXY,To Earth - Radio Edit,32.0,0.0516,0.586,336923.0,0.482,0ZQI5HyOkmhcMpuqdQQYXY,0.903,11.0,0.0911,-11.505,0.0,0.0556,195.003,3.0,0.306
0ZXd1TegWuiAMfawlF4zgz,2018-07-27T20:41:21Z,02DWGcShQivFepRvGJ7xhB,Adriatique,387429.0,False,0ZXd1TegWuiAMfawlF4zgz,Rolling Stone - Original Mix,23.0,0.00444,0.736,387430.0,0.527,0ZXd1TegWuiAMfawlF4zgz,0.702,6.0,0.109,-14.589,0.0,0.0485,119.0,4.0,0.18
