C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/05/2017,20:00:00,REGULAR,0000310368,0000500958                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/06/2017,00:00:00,REGULAR,0000310621,0000501146                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/06/2017,04:00:00,REGULAR,0000310642,0000501161                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/06/2017,08:00:00,REGULAR,0000310671,0000501469                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/06/2017,12:00:00,REGULAR,0000310852,0000502209                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/06/2017,16:00:00,REGULAR,0000311195,0000502597                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/06/2017,20:00:00,REGULAR,0000311802,0000503140                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/07/2017,00:00:00,REGULAR,0000312039,0000503333                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/07/2017,04:00:00,REGULAR,0000312068,0000503347                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/07/2017,08:00:00,REGULAR,0000312097,0000503693                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/07/2017,12:00:00,REGULAR,0000312273,0000504473                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/07/2017,16:00:00,REGULAR,0000312600,0000504862                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/07/2017,20:00:00,REGULAR,0000313254,0000505411                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/08/2017,00:00:00,REGULAR,0000313562,0000505612                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/08/2017,04:00:00,REGULAR,0000313597,0000505634                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/08/2017,08:00:00,REGULAR,0000313635,0000505926                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/08/2017,12:00:00,REGULAR,0000313785,0000506671                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/08/2017,16:00:00,REGULAR,0000314099,0000507065                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/08/2017,20:00:00,REGULAR,0000314736,0000507604                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/09/2017,00:00:00,REGULAR,0000314994,0000507806                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/09/2017,04:00:00,REGULAR,0000315033,0000507825                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/09/2017,08:00:00,REGULAR,0000315058,0000508140                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/09/2017,12:00:00,REGULAR,0000315254,0000508843                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/09/2017,16:00:00,REGULAR,0000315597,0000509228                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/09/2017,20:00:00,REGULAR,0000316280,0000509708                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/03/2017,00:00:00,REGULAR,0005389621,0007426925                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/03/2017,04:00:00,REGULAR,0005389657,0007426941                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/03/2017,08:00:00,REGULAR,0005389680,0007427005                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/03/2017,12:00:00,REGULAR,0005389803,0007427191                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/03/2017,16:00:00,REGULAR,0005390018,0007427429                                            
